date,Strategy,IQ Hedge Multi-Strategy Tracker ETF (QAI),MSCI World Index
2017-06-30,57.23846617712457,1.2634375529776518,1.8113802773017633
2017-07-31,55.897202119284465,1.275038143905457,1.8600249260009372
2017-08-31,59.410684731725794,1.2814802257150526,1.8632575167471601
2017-09-30,56.52178362797226,1.2836308154319398,1.8962455211092102
2017-10-31,59.304665533588086,1.2943692330047762,1.9341797787817443
2017-11-30,59.227592644062916,1.3020997311762907,1.9685309238199131
2017-12-31,60.49498112441245,1.307684483301451,1.9980916030534388
2018-01-31,60.88233473957477,1.33388874088785,2.109635457236333
2018-02-28,60.55925367005211,1.3158460681504496,2.0177597756659953
2018-03-31,64.95746190124181,1.3094039863408538,1.9699719582489517
2018-04-30,63.63474560892684,1.3059649802620465,1.9850833463156288
2018-05-31,61.94458206305325,1.3145576517885296,1.981500233681261
2018-06-30,64.80581072853111,1.305538737255096,1.9675961987848603
2018-07-31,66.17608401351254,1.3171393281829018,2.0245365321701234
2018-08-31,65.0098268574859,1.320573490591175,2.036454276367038
2018-09-30,65.30095721244942,1.3197161609067398,2.0417899984421277
2018-10-31,65.08172887280007,1.2831997287544548,1.8872487926468315
2018-11-30,69.72346066988003,1.286633891162728,1.9117463779404915
2018-12-31,75.70708924639825,1.2642755079799524,1.7746533727995035
2019-01-31,78.37576996270556,1.2993000896079092,1.9130316248636876
2019-02-28,81.04588642198392,1.3106827153617053,1.9608973360336523
2019-03-31,82.31482908027431,1.3163740282386032,1.9806434023991304
2019-04-30,87.16721268699231,1.325126540892692,2.0440878641532967
2019-05-31,88.47967936286395,1.3080526022619974,1.9166536843745143
2019-06-30,96.59118011514543,1.3316945581361592,2.038635301448825
2019-07-31,100.61764699043957,1.3299411494030207,2.042179467206731
2019-08-31,104.05316630860143,1.32600324525926,1.9897180246144273
2019-09-30,103.38687770026945,1.3316945581361583,2.0277691229163435
2019-10-31,100.41003371923715,1.3443898186045424,2.0813600249260023
2019-11-30,103.42833761479066,1.3509578358480094,2.1292257360959663
2019-12-31,107.3123326907853,1.374028238599214,2.2014332450537477
2020-01-31,113.7514227048208,1.3659974328546212,2.175650412836891
2020-02-29,106.44804588335165,1.3459204184931375,1.9970400373890025
2020-03-31,111.80868385996848,1.2700830689496527,1.7228150802305673
2020-04-30,111.0534540963119,1.309341018623916,1.9051643558186653
2020-05-31,110.8528743604772,1.3352159066140357,1.9842265150334963
2020-06-30,108.23094805574121,1.352614371170476,2.0443604922885212
2020-07-31,119.94473282514346,1.376701944733721,2.1494391649789706
2020-08-31,132.6025820782726,1.3941004092901628,2.2778470166692655
2020-09-30,129.03847806699847,1.3825046620328918,2.2010827231656047
2020-10-31,138.58576092307598,1.3762563270446382,2.1459728929739863
2020-11-30,143.44357939444185,1.422208229396241,2.4079685309238235
2020-12-31,154.0597816076229,1.4527766341333501,2.5170197850132467
2021-01-31,156.99043172056497,1.4545978542539564,2.5039336345225163
2021-02-28,180.42960543776223,1.4573248407643336,2.5593939866022803
